transaction_amount;hour_of_day;is_weekend;num_items;customer_age;prev_transactions;distance_from_home;device_type;network_quality;is_first_transaction;store_type;velocity_score;is_fraud
125,28;2;0;3;45;1;0,97;0;64,19;0;0;4,68;0
140,54;3;0;2;27;2;17,32;0;85,6;0;0;4,03;0
99,48;2;1;1;18;0;31,15;0;65,57;0;0;6,5;0
73,71;3;0;2;21;11;68,23;2;71,85;0;0;8,28;0
124,01;2;0;4;35;0;30,92;0;92,68;0;1;4,99;0
112,41;1;0;1;47;13;9,29;0;68,47;1;0;4,99;0
124,55;1;0;3;23;1;5,01;0;46,36;0;0;5,23;0
98,78;1;0;1;46;3;41,97;0;88,39;0;0;4,99;0
1,0;1;0;4;50;4;18,49;0;74,23;0;0;4,99;0
115,09;2;0;1;26;6;5,69;0;79,24;0;0;6,97;0
149,81;3;0;2;33;0;4,95;2;85,07;0;0;4,62;0
115,56;2;0;4;53;3;7,59;0;54,47;0;0;7,36;0
204,42;2;0;6;35;0;17,32;1;90,42;0;0;3,0;0
111,93;2;0;2;25;3;48,29;0;85,17;1;1;3,57;0
51,21;3;1;4;22;2;50,46;0;79,95;1;0;7,48;0
132,97;2;0;3;35;4;17,32;0;59,25;0;0;4,21;1
135,17;2;0;1;45;3;17,32;1;90,26;0;0;4,99;0
149,13;3;1;5;49;4;1,97;1;85,26;1;0;4,42;0
95,1;2;0;5;18;0;38,08;1;75,31;0;0;5,94;0
106,13;1;0;3;27;3;44,32;1;75,31;0;0;5,81;0
95,41;2;0;4;30;3;17,32;2;74,7;0;0;4,39;0
82,89;2;0;5;35;4;7,08;0;58,82;0;0;7,72;0
110,03;3;0;3;39;6;51,64;0;88,53;0;0;6,05;0
99,48;3;1;1;21;10;17,32;1;85,54;0;0;0,74;0
187,48;2;0;2;59;11;17,32;0;97,74;0;0;4,53;0
151,26;3;0;2;21;2;17,32;0;86,48;0;0;2,64;0
219,58;3;0;5;22;0;8,51;2;55,49;0;0;3,32;0
124,39;2;0;5;58;5;1,06;1;75,31;0;0;7,13;0
116,2;2;0;4;67;1;35,17;1;78,6;0;0;7,66;0
122,89;2;0;1;18;1;11,9;0;52,62;0;1;2,92;0
40,85;3;0;5;19;0;45,89;0;66,76;0;0;4,46;0
26,75;3;0;2;40;4;17,32;0;68,24;0;0;4,99;0
73,44;2;0;1;22;0;17,32;0;79,03;0;0;7,95;0
1,65;2;0;4;28;0;4,1;2;50,84;0;0;2,69;0
82,74;2;1;4;22;11;17,32;2;98,35;0;1;3,81;0
12,06;2;0;1;18;3;32,21;2;55,5;1;0;9,78;1
219,58;2;0;1;30;5;20,89;0;75,31;0;0;3,12;0
149,51;3;0;0;18;9;57,77;0;70,52;0;0;4,99;1
142,48;2;0;2;35;3;10,57;0;80,29;0;0;7,45;0
122,79;3;0;1;64;0;17,32;1;26,12;0;0;4,99;0
99,03;3;0;4;35;4;29,53;1;70,06;0;1;3,9;0
146,08;3;0;6;67;3;12,14;0;68,41;1;0;4,99;0
155,31;1;0;5;30;8;9,43;0;66,35;0;0;9,45;0
67,51;2;0;5;18;0;0,98;2;75,31;0;0;4,99;0
120,21;2;0;2;28;2;8,55;0;62,29;0;1;4,64;0
126,88;3;1;1;18;13;14,91;1;82,69;0;0;4,26;0
117,42;1;0;2;48;9;2,12;0;62,78;0;1;5,44;0
91,78;2;0;2;29;7;10,2;2;40,59;0;0;4,01;1
108,21;3;0;2;33;7;17,32;1;51,94;0;0;7,02;0
89,98;3;0;2;36;3;34,74;0;53,18;0;0;1,9;0
172,39;2;0;3;35;3;8,3;0;42,69;0;0;3,21;0
101,71;2;0;1;19;1;9,68;1;98,87;0;0;6,86;1
96,3;3;0;3;35;13;46,35;0;100,0;0;0;5,16;1
58,2;2;0;3;38;1;17,32;0;75,31;0;0;3,5;0
130,34;2;0;2;18;3;34,62;0;78,03;0;0;4,7;0
132,77;2;0;3;44;0;3,91;0;100,0;0;0;5,58;0
194,89;2;0;2;21;6;43,04;0;48,22;0;1;0,0;0
1,0;2;0;3;61;13;0,91;2;71,83;1;0;8,02;0
94,78;2;0;2;35;0;33,86;0;69,32;0;1;8,67;0
99,48;1;0;2;29;1;19,54;0;80,8;0;0;4,46;0
99,48;3;0;1;28;6;10,65;0;52,07;0;1;5,76;0
105,48;2;0;1;45;3;10,3;0;55,56;0;0;4,99;1
116,75;3;0;3;25;1;12,12;0;100,0;0;0;4,95;0
83,98;2;0;4;66;5;8,46;1;63,33;0;0;5,95;1
101,62;2;0;2;27;0;17,32;2;74,52;0;1;4,19;0
94,99;2;0;4;35;0;1,51;0;93,22;0;0;4,99;0
63,48;2;0;2;53;1;29,09;1;41,55;0;0;5,08;0
67,41;2;0;4;37;13;14,03;2;72,18;0;1;6,26;0
142,62;2;0;4;32;3;4,11;0;77,48;0;0;8,03;1
104,37;2;0;1;41;0;10,54;2;85,89;0;0;2,64;0
68,34;3;0;2;29;4;68,23;0;80,43;0;1;3,85;1
33,96;3;0;0;46;2;4,77;1;80,81;1;0;7,97;0
93,81;2;0;1;37;1;27,04;0;71,2;0;0;6,11;0
162,61;2;0;3;18;13;68,23;2;81,43;0;0;5,28;0
174,75;2;0;1;43;1;25,46;0;67,92;0;0;3,38;0
76,31;3;0;4;35;1;17,32;0;64,51;0;0;5,38;0
39,52;3;1;2;35;0;1,46;2;92,6;0;1;4,14;0
151,35;2;0;4;32;6;17,32;0;75,31;1;1;6,05;0
128,28;2;0;4;18;1;68,23;2;23,91;0;0;5,48;1
122,52;2;0;3;25;0;17,32;2;83,67;0;0;5,37;0
122,6;2;0;4;18;13;31,96;0;100,0;0;0;4,22;0
38,04;2;0;2;35;1;27,46;0;87,98;0;1;8,56;1
127,59;3;0;2;29;0;25,14;0;91,89;0;1;2,74;1
173,21;1;0;3;48;10;2,17;1;72,99;0;1;3,95;0
66,21;1;1;1;40;0;4,02;0;59,09;0;1;0,46;1
122,86;3;1;1;40;1;24,64;0;75,31;0;1;9,22;0
88,24;2;0;1;51;4;17,32;1;81,76;0;0;4,63;0
170,52;1;0;2;43;13;0,24;1;80,65;0;1;4,99;0
73,47;2;0;4;37;2;13,37;0;95,95;0;0;5,17;1
1,0;1;0;4;47;10;10,14;0;93,09;0;1;5,37;0
25,04;3;0;5;35;3;11,84;0;63,57;0;0;6,02;0
148,48;2;0;3;47;0;1,99;1;66,54;0;0;6,12;0
151,18;3;0;3;79;0;16,29;1;74,94;0;0;4,99;0
94,84;3;1;5;35;6;10,51;1;60,17;0;0;6,69;0
121,61;3;0;5;44;0;32,61;1;83,67;0;0;4,83;0
78,66;2;0;3;50;2;17,32;1;49,33;0;1;4,15;0
138,04;1;0;5;23;6;13,56;0;83,93;0;0;5,81;0
1,0;2;0;2;29;1;52,16;0;49,36;0;0;4,34;1
129,96;3;0;1;34;0;8,24;1;57,31;0;1;6,09;0
34,14;2;0;3;33;6;19,5;0;74,47;0;0;4,29;0
95,58;3;0;4;56;6;33,37;0;61,88;0;0;0,02;1
174,21;2;0;1;64;1;55,67;1;72,55;0;0;4,99;0
49,92;2;0;5;18;1;20,97;0;87,95;0;1;4,99;1
96,97;3;0;3;35;10;9,12;0;41,49;0;0;4,99;0
219,58;3;0;3;18;3;35,01;1;75,31;0;0;1,07;0
112,04;2;0;6;35;0;3,05;0;100,0;0;0;6,71;0
108,82;2;0;4;35;3;68,23;0;52,11;0;0;4,99;0
109,93;3;0;3;43;3;6,22;2;93,62;0;0;4,99;0
48,24;2;0;1;31;13;44,58;1;56,5;0;1;6,76;0
185,11;2;0;1;35;5;17,32;1;39,94;0;0;4,55;0
168,4;2;0;4;26;3;5,91;0;57,17;0;0;4,99;0
75,56;2;1;5;35;4;12,99;0;68,01;0;0;8,12;0
30,99;3;0;1;37;3;22,66;0;87,99;0;0;5,73;0
69,94;2;0;2;30;4;9,8;2;49,68;0;1;4,07;0
100,44;3;0;3;51;0;18,87;0;100,0;0;0;5,18;0
1,0;3;0;6;43;0;0,52;0;62,97;0;0;7,28;0
48,4;2;1;2;36;2;0,24;0;80,3;0;1;2,25;0
131,28;3;1;2;39;4;68,23;1;75,31;0;0;4,97;0
99,48;2;0;2;35;1;1,87;0;57,27;0;1;7,18;0
128,15;2;1;2;32;4;13,1;0;62,19;0;1;3,84;0
21,18;1;0;3;46;5;21,27;1;34,93;0;0;1,31;0
42,33;3;0;3;30;13;6,52;0;62,86;0;1;3,24;0
211,57;2;1;1;60;4;1,28;1;80,98;0;1;2,27;1
99,48;2;0;6;46;3;5,92;1;59,36;0;1;6,8;0
108,61;2;0;1;23;8;11,99;1;75,13;0;0;6,28;1
70,61;3;0;5;26;0;43,02;0;42,72;0;0;4,9;0
50,28;2;0;6;36;1;25,71;0;69,54;0;0;6,76;0
143,81;2;0;3;24;4;44,14;2;100,0;0;0;3,21;0
136,73;3;0;2;40;8;8,56;1;63,36;0;1;7,46;0
92,07;3;0;5;29;6;33,96;0;100,0;1;0;4,99;0
168,34;3;0;5;18;8;9,39;1;61,8;0;0;4,16;0
106,7;2;0;2;35;4;3,36;1;100,0;0;0;6,61;1
99,48;2;0;3;46;1;2,35;1;41,98;0;1;3,45;1
88,68;2;0;2;53;11;16,37;1;80,24;0;0;6,4;0
189,94;3;0;3;47;2;2,27;1;78,24;0;0;4,78;0
115,4;2;0;2;29;4;6,85;0;75,76;0;0;5,92;0
120,84;3;0;7;59;0;1,58;1;59,11;0;0;4,99;0
158,3;2;0;2;58;2;35,42;0;81,39;0;0;5,44;0
99,48;2;0;2;34;13;27,75;1;71,25;0;0;4,99;0
113,4;2;0;3;18;4;31,46;1;78,82;0;1;5,09;1
159,09;3;0;4;29;5;10,48;0;63,7;0;0;5,88;0
194,61;3;0;3;21;6;31,0;0;66,05;0;0;5,76;0
97,72;2;0;2;56;0;44,42;2;87,93;0;0;6,23;0
78,53;2;1;2;47;5;17,32;0;55,67;0;0;3,87;0
119,73;2;0;3;18;1;27,11;0;56,0;0;1;4,15;0
124,7;2;0;5;35;10;3,11;0;83,22;0;0;8,6;1
99,48;3;0;1;37;0;18,82;0;75,31;0;0;6,89;0
91,59;2;0;5;18;0;21,45;0;93,33;0;1;4,99;0
107,25;3;0;3;35;3;43,62;0;69,6;0;0;5,57;0
67,53;3;0;2;18;5;6,06;0;84,65;0;0;3,74;0
98,45;1;0;3;48;2;42,94;0;100,0;0;0;5,82;0
93,76;2;0;0;41;9;20,23;1;97,85;0;0;7,86;0
95,05;2;0;5;25;1;26,59;0;100,0;0;0;6,11;0
39,53;3;0;3;18;5;46,93;1;78,59;0;1;3,69;0
99,48;2;0;2;35;3;9,9;0;66,78;0;0;3,74;0
181,19;1;0;4;18;1;2,56;1;83,72;0;0;4,99;1
109,74;2;0;4;28;6;5,93;0;75,31;0;0;4,99;0
111,21;2;1;3;35;13;4,33;0;67,2;0;1;7,12;0
83,15;2;0;3;36;0;36,31;0;50,39;1;0;3,07;0
69,75;2;0;3;46;8;62,54;0;68,93;0;0;1,42;1
99,48;2;0;2;40;5;17,32;0;54,01;0;0;4,43;0
98,69;2;0;5;40;0;31,71;0;65,78;0;0;6,2;0
127,78;3;0;2;18;4;62,28;0;75,31;0;1;4,15;1
86,44;3;0;3;23;9;19,39;2;86,06;0;0;6,44;0
135,7;2;0;1;41;3;17,32;1;74,31;1;1;3,58;0
62,54;2;0;2;39;6;11,41;0;80,22;0;0;4,97;0
89,02;3;0;2;39;13;9,38;0;79,44;0;1;4,99;0
114,24;3;1;2;37;10;10,73;1;69,22;0;0;7,93;0
40,17;1;0;4;35;7;8,08;0;80,58;0;0;9,25;0
88,55;1;0;6;44;0;3,0;2;70,16;0;1;3,86;0
118,67;3;0;5;18;3;5,14;0;100,0;0;0;4,99;0
114,35;2;0;3;26;2;2,44;1;88,48;0;0;5,67;1
160,19;3;0;4;18;13;21,83;0;81,41;1;0;5,47;0
72,44;3;1;3;32;0;10,11;0;70,95;0;0;4,99;0
67,42;2;0;3;35;1;46,93;1;98,8;0;0;8,74;0
80,78;1;0;3;31;0;33,46;1;76,96;0;0;6,48;0
151,2;2;0;3;18;9;43,18;0;77,05;0;0;3,92;0
25,14;2;0;4;18;2;22,31;0;74,34;0;0;8,03;0
99,48;3;0;3;35;3;17,32;2;85,42;0;1;7,32;0
215,4;1;0;7;35;6;13,85;2;100,0;0;0;2,75;0
99,48;2;0;4;35;0;17,32;2;33,13;0;1;7,81;0
99,48;1;0;2;37;1;17,32;0;75,31;0;0;4,99;0
219,58;3;1;6;18;11;0,24;1;44,52;0;0;6,67;0
1,0;2;0;5;18;3;54,73;2;64,09;0;0;8,09;1
147,9;2;0;5;44;5;40,75;1;96,76;0;0;6,79;0
133,97;3;0;4;35;6;19,15;2;43,43;0;0;4,99;0
45,22;3;0;1;33;10;19,2;1;51,27;0;0;3,95;0
71,0;3;0;4;40;8;19,4;0;66,45;0;0;5,87;0
106,21;3;1;4;18;13;22,42;0;56,37;1;1;0,54;0
135,73;1;0;4;53;3;49,3;1;66,2;0;1;3,22;0
49,21;2;0;1;22;10;6,2;0;97,13;0;0;5,56;0
99,48;2;0;2;18;4;28,33;0;66,61;0;0;3,6;0
172,42;2;0;3;50;5;6,32;0;43,61;0;0;4,99;0
99,48;3;1;2;61;1;23,51;0;73,66;0;0;7,05;0
79,46;2;0;3;18;3;1,19;0;81,77;0;1;1,62;0
219,58;1;0;5;25;3;17,32;0;75,31;1;0;4,99;0
113,43;1;0;3;60;2;6,66;0;72,15;0;0;3,88;0
9,1;2;0;4;20;0;63,9;2;48,46;0;0;8,18;1
49,11;3;0;2;18;2;67,84;0;33,98;0;1;4,99;0
88,16;2;0;2;28;1;32,18;1;79,34;0;1;3,32;0
140,4;2;0;4;35;9;3,9;0;75,97;0;0;2,22;0
110,83;1;1;3;18;6;17,32;0;62,9;0;0;3,71;0
121,29;2;0;1;33;2;68,23;1;76,65;0;0;6,24;0
132,32;2;0;0;44;4;13,03;1;78,1;0;0;2,02;0
44,47;2;0;2;35;1;36,81;1;75,31;0;1;7,3;0
75,04;3;0;2;35;3;7,58;2;86,37;0;0;7,0;0
105,36;3;0;4;35;2;18,06;0;83,5;0;0;5,38;0
58,4;3;0;2;23;8;63,43;0;52,13;0;1;0,0;0
184,97;3;0;5;30;2;17,32;2;94,99;0;1;5,54;0
126,91;3;0;3;22;1;0,75;2;88,64;0;0;0,93;0
45,42;2;0;5;45;7;33,47;0;68,77;0;1;7,57;0
70,03;2;0;1;56;6;52,81;0;69,82;0;0;4,99;0
32,75;1;0;4;37;2;16,48;0;90,0;0;0;4,34;0
99,48;2;0;6;35;7;10,16;2;84,36;0;0;4,99;0
149,09;3;0;2;41;13;13,91;2;76,03;0;1;5,28;0
175,17;1;0;3;35;4;19,88;0;67,11;0;0;4,99;0
132,98;2;0;2;49;2;17,32;2;79,95;0;0;4,99;0
99,17;3;1;4;35;13;8,81;0;78,33;0;0;5,62;0
112,8;2;0;4;37;3;0,98;0;73,84;0;1;4,7;1
99,48;3;0;4;21;1;17,32;2;45,51;0;0;1,5;0
62,31;2;0;6;31;2;33,64;0;51,85;0;0;3,88;0
99,48;2;0;2;37;0;41,19;0;100,0;0;0;7,73;0
124,47;3;0;3;40;3;34,12;0;89,3;0;0;4,99;0
68,76;3;0;5;34;5;25,1;0;96,67;0;0;5,77;0
133,64;1;0;3;59;0;17,32;2;59,06;0;0;7,14;0
85,97;2;0;2;35;1;18,3;2;96,45;1;0;5,66;0
191,57;3;0;3;52;2;16,54;0;51,8;0;0;4,75;0
106,41;3;0;2;29;2;14,09;0;67,95;0;0;0,97;0
81,07;3;0;3;45;2;6,97;0;67,0;0;0;4,99;0
126,72;3;0;4;18;2;7,63;0;56,99;1;0;4,99;1
1,0;3;0;1;35;0;17,96;1;91,38;0;0;1,68;0
167,56;2;0;4;53;1;4,94;0;91,62;0;0;5,96;0
99,48;1;0;4;43;0;0,5;2;95,89;0;1;5,47;0
156,25;2;0;4;19;8;34,24;1;65,22;0;0;4,93;0
99,46;1;0;3;44;11;0,72;0;100,0;1;0;8,04;0
204,9;2;0;1;18;0;8,67;2;61,53;0;0;7,17;0
219,58;2;0;2;39;0;33,67;0;75,31;0;0;6,28;1
187,93;2;0;4;43;10;1,13;1;74,78;0;0;3,39;0
99,48;2;0;1;48;5;0,97;0;81,52;0;0;4,99;0
116,22;3;0;6;18;3;8,74;1;63,38;0;0;4,99;0
103,35;2;0;2;36;0;32,37;1;61,83;0;0;2,86;1
86,16;2;0;2;31;2;17,32;0;87,8;0;0;4,99;0
88,91;2;0;3;60;4;1,47;0;75,31;0;0;6,24;0
68,81;2;0;3;33;7;25,68;1;75,06;0;0;4,99;0
165,92;2;0;1;41;5;13,81;1;100,0;0;0;7,99;0
97,93;3;1;3;22;3;27,17;0;58,24;1;0;2,58;0
137,12;2;0;1;49;6;18,69;1;74,01;0;1;3,75;0
99,48;2;0;3;36;0;14,89;1;63,78;0;0;1,42;0
70,22;3;0;2;35;1;12,24;0;84,3;0;0;9,54;0
87,73;3;0;5;74;0;11,16;1;59,11;0;1;3,59;0
67,82;3;0;5;41;6;17,32;2;81,14;0;0;4,99;0
147,87;3;0;3;30;3;10,57;1;60,54;0;1;4,18;0
35,98;1;0;4;25;3;17,32;0;100,0;0;1;3,95;0
81,66;3;0;2;35;13;4,66;0;91,3;0;0;3,5;1
45,49;3;0;3;52;2;5,56;2;75,31;0;1;4,11;0
30,61;3;0;3;30;0;18,2;0;80,31;1;0;5,92;0
101,57;3;0;6;34;10;34,14;1;62,88;0;0;2,18;1
6,0;2;0;2;57;1;26,63;1;37,26;0;1;4,95;0
191,91;3;1;3;28;2;56,02;0;58,74;0;0;6,4;0
66,53;3;0;6;43;11;11,62;0;77,96;0;0;6,78;0
103,7;3;1;4;46;1;32,53;1;94,56;1;1;6,63;1
36,5;2;0;0;18;13;6,91;0;80,41;0;0;6,56;0
131,14;2;0;3;45;10;6,61;0;87,53;0;0;5,73;0
97,49;2;0;3;46;5;1,58;0;75,31;0;0;3,97;0
63,27;3;0;6;35;1;26,15;0;75,31;0;0;4,06;0
185,97;2;1;6;30;11;27,94;0;62,28;1;0;5,49;0
106,3;3;0;1;53;10;4,14;1;72,55;0;0;0,8;0
86,72;3;0;1;37;13;6,03;1;59,67;0;1;4,85;0
78,01;2;0;1;64;10;41,67;1;63,23;0;0;4,52;0
99,48;1;0;3;39;6;19,99;2;75,31;1;0;4,99;0
143,44;3;0;3;48;4;35,69;1;52,06;0;0;6,84;0
164,64;2;0;6;35;3;27,07;0;75,31;1;0;2,66;0
114,43;2;0;2;18;3;5,2;1;81,86;0;0;3,8;0
109,72;3;0;2;64;6;12,4;1;82,41;0;0;4,95;0
92,55;3;0;2;29;7;21,8;2;80,13;0;0;4,46;0
99,65;2;0;6;29;5;12,28;1;92,99;1;1;9,03;0
96,42;3;0;3;32;3;41,86;2;68,04;0;1;4,25;0
117,03;2;0;1;37;13;12,97;0;72,68;0;1;6,82;0
112,93;1;1;1;31;0;0,06;1;96,75;0;0;3,85;0
109,58;3;0;4;41;3;39,41;0;56,12;0;0;5,03;0
111,69;3;0;2;37;0;18,75;1;74,29;0;1;9,37;0
35,16;2;0;4;34;3;14,11;2;100,0;0;0;4,94;0
67,82;2;0;3;60;13;9,51;0;73,09;0;0;4,95;0
89,53;2;0;2;32;2;17,32;0;88,36;0;0;3,0;0
175,01;2;0;5;53;7;34,27;0;92,48;0;0;4,1;0
32,64;2;0;4;29;5;14,2;1;61,03;0;1;8,7;0
169,6;3;0;4;39;0;3,11;0;57,64;0;1;4,63;0
89,02;2;0;2;35;4;17,32;1;57,03;0;1;4,33;0
163,97;3;0;4;35;2;29,55;1;75,31;0;1;4,87;0
219,58;2;0;1;43;10;14,02;0;66,84;1;0;4,05;0
92,64;2;0;1;59;6;13,02;2;57,13;0;0;6,85;0
64,04;2;0;3;31;10;7,27;0;72,92;0;0;7,18;0
26,82;2;0;3;40;13;1,88;0;75,31;0;1;4,99;0
20,89;1;0;2;35;0;17,32;0;71,25;0;0;4,42;0
137,75;2;0;3;41;0;45,1;0;75,31;0;0;2,52;0
100,32;1;0;0;18;6;20,08;2;100,0;0;0;7,01;0
146,45;2;0;7;34;0;6,57;2;75,31;0;1;4,99;0
147,29;2;0;1;35;1;8,51;1;88,16;0;0;4,84;0
73,67;2;0;5;24;11;19,5;1;94,36;0;0;4,1;0
23,48;3;0;1;35;2;1,45;2;52,85;0;0;3,87;0
175,04;3;0;2;38;13;21,62;0;79,64;0;1;3,64;0
62,7;2;0;3;18;7;3,92;0;75,31;0;0;3,98;0
77,5;2;0;2;80;0;17,32;2;69,22;0;0;8,21;0
150,51;2;0;2;23;0;25,82;1;68,76;0;0;5,86;0
173,56;2;0;4;30;3;3,35;2;78,28;0;0;5,63;0
99,48;2;0;2;35;2;22,95;0;50,92;0;0;6,13;0
7,81;2;0;4;22;5;15,65;0;60,16;0;0;8,0;1
125,68;1;0;2;21;2;2,3;0;79,35;0;1;5,45;0
119,67;1;0;4;23;3;17,32;0;87,0;0;0;2,97;1
99,48;3;0;2;38;3;48,48;2;81,74;0;0;5,74;0
106,01;3;0;4;26;1;4,2;2;75,66;0;0;2,37;1
168,68;3;1;3;18;0;12,05;0;84,88;0;1;8,2;0
93,5;3;0;6;47;4;51,56;1;88,82;0;0;6,02;0
59,19;2;0;6;43;1;5,15;2;55,99;0;0;4,06;0
207,26;2;1;2;55;0;68,23;1;100,0;0;0;8,82;0
53,68;2;0;3;35;5;3,21;1;73,68;0;0;4,89;0
53,63;3;0;1;47;3;4,13;1;28,02;1;1;8,42;0
120,88;2;0;3;32;8;2,47;0;75,31;0;0;8,48;0
162,66;1;1;3;23;2;8,16;0;93,51;0;0;3,77;0
112,63;2;0;2;39;0;17,32;0;61,36;0;1;1,91;0
85,49;2;0;4;32;7;50,42;2;84,58;0;0;5,18;0
104,77;1;0;2;52;2;6,71;0;89,34;0;0;4,42;0
98,82;2;0;3;32;13;10,56;0;80,08;0;0;5,83;0
155,72;1;0;3;19;0;61,66;0;100,0;0;0;6,38;0
107,17;3;0;3;29;1;24,51;0;92,19;0;0;2,97;0
1,0;2;1;1;18;3;10,3;0;47,35;0;1;6,21;0
152,35;3;1;3;28;13;2,88;1;58,65;0;0;1,49;0
1,0;2;0;2;48;13;51,3;2;57,8;0;1;1,1;1
35,37;2;0;3;27;6;7,17;0;69,11;1;1;3,67;0
122,68;1;0;5;30;2;35,47;1;68,62;0;0;8,24;0
72,35;2;0;4;46;7;10,66;2;33,7;0;0;4,94;0
188,06;1;0;5;34;0;5,98;2;100,0;0;0;3,93;0
140,46;2;0;6;37;10;37,65;0;61,81;0;1;4,99;0
175,07;3;0;6;72;5;17,32;0;47,17;0;1;7,13;0
73,24;2;0;1;41;0;9,37;2;100,0;0;1;5,57;0
55,81;2;0;3;22;2;5,23;0;81,39;0;1;6,06;0
182,81;3;0;7;23;1;21,71;1;100,0;0;0;7,31;0
182,53;2;0;2;25;10;68,23;2;64,79;0;0;6,57;0
134,16;3;0;1;66;2;26,84;0;78,27;0;0;5,86;0
46,61;3;0;5;35;7;32,09;1;71,95;0;0;2,57;0
99,48;2;0;4;33;2;19,9;0;81,96;1;1;3,41;0
72,75;3;0;3;24;3;22,88;0;87,56;0;0;8,58;1
31,33;3;0;3;49;3;7,91;0;100,0;0;0;4,91;0
162,64;2;0;3;60;0;20,95;2;82,11;0;0;4,49;1
14,47;2;0;4;22;3;34,88;1;66,02;0;0;4,99;1
90,72;2;0;1;34;1;17,93;1;75,17;0;0;11,88;1
101,42;2;0;5;18;0;0,47;2;82,52;0;0;5,74;0
91,35;3;0;3;19;5;1,19;1;61,52;0;1;4,59;0
155,61;2;0;3;41;9;51,98;0;73,03;0;0;4,93;0
143,54;1;0;1;18;0;19,5;2;64,16;0;0;4,91;0
1,0;2;1;3;23;1;45,1;1;52,06;0;0;4,99;0
176,54;1;1;2;18;2;32,75;2;92,19;0;0;3,81;0
149,78;3;0;0;35;0;30,77;0;84,31;0;0;1,89;0
121,62;3;0;3;35;1;17,32;0;72,37;0;0;2,18;0
162,23;3;0;4;70;8;14,44;0;85,21;0;0;3,9;0
